ID,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Weatherconditions,Road_traffic_density,Type_of_vehicle,multiple_deliveries,Time_taken(min)
0x4607 ,4.9,22.745049,75.892471,22.765049,75.912471,Sunny,High,motorcycle,0,24
0xb379 ,4.5,12.913041,77.683237,13.043041,77.813237,Stormy,Jam,scooter,1,33
0x5d6d ,4.4,12.914264,77.6784,12.924264,77.6884,Sandstorms,Low,motorcycle,1,26
0x7a6a ,4.7,11.003669,76.976494,11.053669,77.026494,Sunny,Medium,motorcycle,1,21
0x9bb4 ,4.8,17.431668,78.408321,17.461668,78.438321,Cloudy,Jam,motorcycle,1,26
0x95b4 ,4.7,23.369746,85.33982,23.479746,85.44982,Fog,Jam,scooter,1,40
0x9eb2 ,4.6,12.352058,76.60665,12.482058,76.73665,Cloudy,Medium,motorcycle,1,32
0x1102 ,4.8,17.433809,78.386744,17.563809,78.516744,Stormy,Jam,motorcycle,1,34
0xcdcd ,4.2,30.327968,78.046106,30.397968,78.116106,Fog,Jam,motorcycle,3,46
0xd987 ,4.7,10.003064,76.307589,10.043064,76.347589,Stormy,High,motorcycle,1,23
0x2784 ,4.7,18.56245,73.916619,18.65245,74.006619,Sandstorms,Medium,scooter,1,21
0xc8b6 ,4.3,30.899584,75.809346,30.919584,75.829346,Sandstorms,Low,motorcycle,0,20
0xdb64 ,4.7,26.463504,80.372929,26.593504,80.502929,Fog,Jam,scooter,1,41
0x3af3 ,4.5,19.176269,72.836721,19.266269,72.926721,Sandstorms,Jam,electric_scooter,1,20
0x3aab ,4.0,12.311072,76.654878,12.351072,76.694878,Windy,High,scooter,1,33
0x689b ,4.2,18.592718,73.773572,18.702718,73.883572,Sandstorms,Jam,motorcycle,1,40
0x6f67 ,4.9,17.426228,78.407495,17.496228,78.477495,Cloudy,Jam,motorcycle,1,41
0xc9cf ,4.7,22.552672,88.352885,22.582672,88.382885,Windy,Jam,motorcycle,1,15
0x36b8 ,4.1,18.563934,73.915367,18.643935,73.995367,Sandstorms,Jam,motorcycle,2,36
0x5795 ,4.7,23.357804,85.325146,23.487804,85.455146,Sandstorms,Low,electric_scooter,0,26
0x6c6b ,5.0,11.003669,76.976494,11.013669,76.986494,Sandstorms,Low,motorcycle,1,20
0x539b ,4.0,19.221315,72.862381,19.261315,72.902381,Cloudy,High,motorcycle,1,34
0x3231 ,5.0,26.849596,75.800512,26.879596,75.830512,Stormy,Jam,motorcycle,0,18
0x8bc0 ,4.3,21.160522,72.771477,21.250522,72.861477,Cloudy,Low,scooter,0,38
0x2288 ,4.0,12.934179,77.615797,13.024179,77.705797,Windy,Jam,motorcycle,1,47
0x3c5e ,4.8,18.51421,73.838429,18.62421,73.948429,Windy,Low,electric_scooter,0,12
0x3e60 ,4.8,11.022477,76.995667,11.052477,77.025667,Sandstorms,Low,motorcycle,1,26
0xbff ,4.1,21.160437,72.774209,21.210437,72.824209,Stormy,Low,motorcycle,1,22
0xd936 ,4.3,15.51315,73.78346,15.56315,73.83346,Sandstorms,Low,motorcycle,0,21
0xd681 ,4.9,15.561295,73.749478,15.601295,73.789478,Cloudy,High,scooter,1,25
0x30c8 ,4.6,18.563934,73.915367,18.693935,74.045367,Cloudy,Low,scooter,1,30
0xb843 ,4.9,18.55144,73.804855,18.62144,73.874855,Sunny,Medium,motorcycle,1,22
0xb3a0 ,4.7,18.593481,73.785901,18.633481,73.825901,Windy,High,scooter,0,10
0x6531 ,4.8,21.173343,72.792731,21.183343,72.802731,Sandstorms,Low,scooter,1,19
0x4bda ,5.0,17.451976,78.385883,17.471976,78.405883,Sunny,Low,scooter,1,11
0x9d26 ,4.9,12.972532,77.608179,12.992532,77.628179,Stormy,Low,scooter,0,11
0x9b18 ,4.8,12.972532,77.608179,13.042532,77.678179,Fog,Low,motorcycle,1,28
0x4f0 ,4.7,19.121999,72.908493,19.201999,72.988493,Cloudy,Medium,scooter,1,33
0xb796 ,4.7,21.149569,72.772697,21.239569,72.862697,Sandstorms,Jam,motorcycle,3,52
0x85b4 ,4.6,19.091458,72.827808,19.201458,72.937808,Stormy,Jam,scooter,1,22
0xc644 ,4.9,22.539129,88.365507,22.559129,88.385507,Fog,Low,scooter,1,16
0x6999 ,4.9,19.221315,72.862381,19.281315,72.922381,Sunny,Jam,electric_scooter,0,11
0x63b6 ,4.9,12.970324,77.645748,13.030324,77.705748,Windy,Medium,scooter,1,25
0xa30b ,4.8,13.064181,80.236442,13.104181,80.276442,Cloudy,Medium,motorcycle,1,26
0x3556 ,5.0,21.175975,72.795503,21.185975,72.805503,Sunny,High,scooter,1,18
0x5554 ,4.9,23.369746,85.33982,23.409746,85.37982,Fog,Medium,motorcycle,1,16
0x25fd ,4.8,12.914264,77.6784,13.024264,77.7884,Stormy,Low,scooter,1,23
0x7ac8 ,4.8,11.003681,76.975525,11.083681,77.055525,Sandstorms,Jam,motorcycle,1,36
0x3da1 ,4.7,21.173343,72.792731,21.233343,72.852731,Cloudy,Low,motorcycle,0,16
0x272d ,4.7,10.96185,76.971082,11.05185,77.061082,Sunny,Medium,motorcycle,0,19
0xddc5 ,4.6,27.165108,78.015053,27.255108,78.105053,Sunny,Low,motorcycle,1,27
0xb002 ,4.5,26.88842,75.800689,26.89842,75.810689,Windy,Low,scooter,0,20
0x8aa2 ,4.8,26.913987,75.752891,26.993987,75.832891,Sandstorms,Low,scooter,0,18
0xb55a ,4.9,12.3085,76.665808,12.3385,76.695808,Sunny,Jam,scooter,0,22
0x73cc ,4.4,21.183434,72.814492,21.253434,72.884492,Cloudy,Low,scooter,1,34
0xbe80 ,5.0,19.254567,72.848923,19.364567,72.958923,Sandstorms,Low,motorcycle,0,24
0x1609 ,4.9,18.55144,73.804855,18.59144,73.844855,Fog,Medium,scooter,1,17
0xd255 ,4.8,25.449659,81.839744,25.469659,81.859744,Sandstorms,Low,electric_scooter,0,14
0xde72 ,4.9,30.372202,78.077151,30.422202,78.127151,Stormy,Jam,motorcycle,1,30
